Job Title,Company,Location,Salary Range (Monthly),Work Arrangement
Data Research Analyst,Outsourced Quality Assured Services Inc.,Quezon City,₱60k – ₱80k,Hybrid
Fraud Data Analyst,Outsourced Quality Assured Services Inc.,Eastwood,₱60k – ₱90k,Remote
Sales / Business Dev Ops Analyst,Emapta,Metro Manila,Up to ₱150k,Permanent WFH
Operational Risk Specialist,Emapta,Metro Manila,Up to ₱75k,Permanent WFH
Data Analyst / Data Enrichment,NightOwl Consulting,Quezon City,₱60k – ₱80k,Remote
Data Scientist,UMS GROUP PHILIPPINES INC.,Quezon City,₱80k – ₱100k,Remote
Data Analyst (US Healthcare),Outsourced Quality Assured Services Inc.,Quezon City,₱60k – ₱80k,Hybrid
Quality & Insights Analyst,Asurion,Clark,₱35k – ₱40k,Hybrid/Onsite
Commercial & Finance Analyst,Advice to Talent,Cebu,₱60k – ₱80k,Remote
Real Time Analyst,Peak Outsourcing Inc.,Dumaguete City,₱18k – ₱22k,Onsite/Remote
Associate Research Analyst,Deltek Systems (Philippines) Ltd.,Makati City,Not Specified,Work From Home
Merchandise Planning Analyst,International Client,Metro Manila,Not Specified,WFH
E-Commerce Data Analyst,Emapta,Metro Manila,Not Specified,Permanent WFH
Senior Financial Analyst,Private Advertiser,Taguig City,Not Specified,Remote
AI Developer (Claude Code),Dash10 Managed Services,Central Luzon,₱100k – ₱150k,Remote
Data Analyst (Power BI),Peak Outsourcing Inc.,Metro Manila,Not Specified,Hybrid
Reports Analyst,Private Advertiser,Metro Manila,Not Specified,Hybrid
Data Entry Analyst,Emapta,Metro Manila,Not Specified,Permanent WFH
Shopify Product Ops Coordinator,Private Employer,Remote,₱60k – ₱100k,Remote
Marketing Analyst,Emapta,Metro Manila,Not Specified,WFH (Tue-Sat)
CAT Modeling Data Analyst,Eclaro Business Solutions,Taguig City,Not Specified,Hybrid
Retail Data Analyst,International Client,Metro Manila,Not Specified,WFH (Dayshift)
Data Analytics and AI Director,Private Advertiser,Cebu City,Not Specified,Hybrid/Remote
Business/Data Analyst (Banking),Private Advertiser,Metro Manila,Not Specified,Remote (AU Hours)
Pricing Data Collection Contractor,International Client,Metro Manila,Not Specified,WFH (Tue-Sat)
Data Specialist,Firefly Electric & Lighting,Metro Manila,Not Specified,Remote/Hybrid
MIS Analyst / Data Analyst,Private Advertiser,Metro Manila,Not Specified,Remote
Data Migration Specialist,Private Advertiser,Metro Manila,Not Specified,Hybrid (2-4x Onsite)
HubSpot Data Manager,Private Advertiser,Remote,Not Specified,Remote
Data Analyst (Power Apps),Integrated Flow Systems,Lapu-Lapu City,Not Specified,Remote
IT Reports Analyst,Private Advertiser,Metro Manila,Not Specified,Hybrid
Reporting & Analytics Specialist,Fortune 500 Co.,Metro Manila,Not Specified,Hybrid
Training Analyst,Private Advertiser,Metro Manila,Up to ₱33k,Remote
Revenue Data Analyst,Certified Great Place,Cebu City,Not Specified,Hybrid
Data and Insights Analyst,Emapta,Metro Manila,Not Specified,Permanent WFH
Data Research Analyst,Outsourced Quality Assured Services Inc.,Quezon City (Remote/Hybrid),"₱60,000 – ₱80,000",
Associate Research Analyst,"Deltek Systems (Philippines), Ltd.",Makati City (Remote),Not Specified,Not Specified
Data Analyst (Insurance Systems),"Eclaro Business Solutions, Inc.",Metro Manila (Remote),Not Specified,
Senior Financial Analyst,Private Advertiser,Metro Manila (Remote),Not Specified,
Operational Risk Specialist,Emapta,Metro Manila (Remote),"Up to ₱75,000",
Data Analyst (Advanced MS Excel),Fortune 500 Company,Taguig City (Remote),Not Specified,
Sales / Business Dev Ops Analyst,OutForce Inc.,Metro Manila (Remote),"Up to ₱150,000+",
Data and Insights Analyst,Emapta,Metro Manila (Remote),Not Specified,"Permanent WFH, Day Shift"
Data Analyst/Enrichment Specialist,NightOwl Consulting Philippines,Quezon City (Remote),"₱60,000 – ₱80,000",
US Healthcare Data Analyst,Emapta,Metro Manila (Remote),"Up to ₱90,000",
Pricing Data Collection Contractor,Private Advertiser,Metro Manila (Remote),Not Specified,"WFH, Relaxed environment, Tue-Sat"
Finance Analyst,Private Advertiser,Metro Manila (Remote),Not Specified,Work from Home Setup
E-Commerce Data Analyst,Private Advertiser,Metro Manila (Remote),Not Specified,"Permanent WFH, Day Shift"
IT Reports Analyst,Systemantech Inc.,Makati City (Remote/Hybrid),"₱40,000 – ₱50,000",
Data Scientist,UMS Group Philippines Inc.,Quezon City (Remote),"₱80,000 – ₱100,000",
Client Insights Analyst (US CPG),"Eclaro Business Solutions, Inc.",Metro Manila (Remote),"₱80,000 – ₱100,000",
